n;tmin;tmax;tmoy
100;0.007533363997936249;0.016643939015921205;0.008257723270507994
105;0.008397566998610273;0.010141652019228786;0.008851498843869194
110;0.009208490984747186;0.010038998996606097;0.00958552944881376
115;0.01011191398720257;0.012588279001647606;0.010498375310271512
120;0.011120126990135759;0.011976934998529032;0.011522302141529508
125;0.012045215000398457;0.026943820994347334;0.012959682560758665
130;0.012902180023957044;0.01462428699596785;0.013462722940312232
135;0.014034922001883388;0.019726338010514155;0.01502953005139716
140;0.015372869005659595;0.01684414700139314;0.01621756907028612
145;0.016557955008465797;0.017976733011892065;0.01736051475862041
150;0.01827339598094113;0.01941858499776572;0.018796743108832743
155;0.019613842974649742;0.021118192991707474;0.020283402070344892
160;0.020897259993944317;0.022641189018031582;0.02174469746008981
165;0.02238708100048825;0.024325591017259285;0.02336470924987225
170;0.023882472014520317;0.025579006993211806;0.024715214159223252
175;0.025794214016059414;0.027863241994054988;0.026498042379389516
180;0.027488355000969023;0.03010206198086962;0.02877257694111904
185;0.029850296006770805;0.03249014800530858;0.031070212929917032
190;0.03223687398713082;0.034559959982289;0.03337410707870731
195;0.03404762697755359;0.0368641969980672;0.03553584542911267
200;0.036423945013666525;0.03857187900575809;0.037385946569847874
205;0.03875167001388036;0.041558812983566895;0.039823916700261176
210;0.04128460198990069;0.04730039101559669;0.04275914863013895
215;0.043190669995965436;0.04752554697915912;0.04492295801639557
220;0.045904742990387604;0.04996483601280488;0.0474071684104274
225;0.0483921580016613;0.05244839400984347;0.05009160229004919
230;0.05134430300677195;0.05887241000891663;0.05375568807969103
235;0.05405952301225625;0.0580499810166657;0.05612486095080385
240;0.05714208600693382;0.061370871000690386;0.05951606558868661
245;0.06010438600787893;0.06542061100481078;0.06269663967919768
250;0.06356043799314648;0.06717272501555271;0.06570719643932535
255;0.06658320801216178;0.06988419700064696;0.06837948046799283
260;0.07011201299610548;0.07466575299622491;0.07206584262050456
265;0.07327973598148674;0.07789524298277684;0.07568227768904762
270;0.07718160797958262;0.0813041570072528;0.07923213858972304
275;0.08098625301499851;0.08849936601473019;0.08356410672073253
280;0.08453636901685968;0.09133022598689422;0.08841720244061435
285;0.090544361009961;0.09535142799722962;0.09272798393940321
290;0.094006923987763;0.09933425099006854;0.09623082835838431
295;0.09863993999897502;0.10292004200164229;0.10067712553980528
300;0.10201615301775746;0.11113634199136868;0.10527546719036764
305;0.10731781701906584;0.11258851698949002;0.1098344514585915
310;0.11086626400356181;0.116504834004445;0.11348685177945299
315;0.11446904100012034;0.12191805601469241;0.1186447934093303
320;0.12003591601387598;0.12720603198977187;0.12372005299839657
325;0.1254454900044948;0.1332047099713236;0.12892423267971026
330;0.13026387500576675;0.13842481499887072;0.13433299462194553
335;0.135849036014406;0.1432627419999335;0.13945384280901635
340;0.14142460000584833;0.14863637799862772;0.14511971455969616
345;0.1467540440207813;0.1600696959940251;0.15029835842811734
350;0.1515242609893903;0.1614400059916079;0.15584500477125401
355;0.15744873098446988;0.16679924499476328;0.1618717618996743
360;0.16373940801713616;0.17248392701731063;0.1680538714391878
365;0.16994440401322208;0.1781802809855435;0.17453602542926092
370;0.17734976601786911;0.1876895750174299;0.18241627104929647
375;0.18360367498826236;0.19450753199635074;0.18942418876162265
380;0.19085397699382156;0.20227403999888338;0.19582937093044164
385;0.19841489900136366;0.20761472900630906;0.20306132306170185
390;0.20559594401856884;0.21756200300296769;0.2103143293983885
395;0.21157197901629843;0.22203841301961802;0.21688353436853502
400;0.21912557500763796;0.22838332899846137;0.2228491256010602
405;0.22530078599811532;0.24008271200000308;0.23098979734961175
410;0.23272114698193036;0.24326045598718338;0.23867258940736064
415;0.24179978400934488;0.2534808990021702;0.24801204133109422
420;0.25106946399318986;0.2636500460212119;0.2568139552223147
425;0.26035797101212665;0.274509078997653;0.2660043323310674
430;0.26802132499869913;0.28277750400593504;0.2742699275197811
435;0.27586575600435026;0.28644563801935874;0.2816444253499503
440;0.2833900609984994;0.2986518999969121;0.2916922952682944
445;0.29241553499014117;0.30556289400556125;0.29981706749036674
450;0.3015144329983741;0.31727161302114837;0.308472845958604
455;0.31039923400385305;0.32439308997709304;0.31663167541875736
460;0.31569691299228;0.334966941998573;0.3282022064898047
465;0.33009220301755704;0.34995348600205034;0.33876751582953146
470;0.34005028399406;0.3551390960055869;0.3485158313412103
