2;1.7666813263854872
3;2.6125149243483285
4;3.9448495358129367
5;6.047560022393674
6;9.381185589639724
7;14.69336237780973
8;23.20128936729331
9;36.893129498374165
10;59.02688169816502
11;94.95808138611514
12;153.51636649315222
13;249.30018757117358
14;406.5105842360347
15;665.370009444587
16;1092.8913802079087
17;1800.9814001529883
18;2976.931158444822
19;4934.864345473814
20;8202.701982891269
21;13669.413327573982
22;22834.75688196287
23;38233.524091504114
24;64157.332043224604
25;107884.49648803256
26;181778.6772951316
27;306875.04331202945
28;519016.70758141886
29;879369.0196922119
30;1492458.2994954272
31;2537158.8028900395
32;4319987.504949193
33;7366875.9122515265
34;12581382.215671819
35;21517754.915906038
36;36852745.34437196
37;63201711.29538955
38;108531741.86929561
39;186611085.7020546
40;321259140.8979179
41;553727885.2095864
42;955534438.45601
43;1650791523.7624307
44;2855101678.769201
45;4943363089.33613
46;8568083586.55553
47;14866006477.920988
48;25819275202.95077
49;44887249879.26851
50;78112710982.49072
51;136060204071.32637
52;237215206258.17712
53;413949714104.4567
54;722999982234.1635
55;1263883131965.8184
56;2211291855679.2314
57;3872118103929.086
58;6785902705369.147
59;11901906597091.45
60;20891466602805.492
61;36699371853130.94
62;64517819821953.21
63;113507962133559.64
64;199844864281590.3
65;352106702599181.2
66;620819018785595.9
67;1095368140384527.9
68;1933992011259327.2
69;3416992168052964.5
70;6041202992926739.0
71;1.068780571638159e+16
72;1.892060493743762e+16
73;3.3516497258403144e+16
74;5.940941658087779e+16
75;1.0537098380286451e+17
76;1.870044785793471e+17
77;3.3208132394297274e+17
78;5.900580169397087e+17
79;1.0490573808087606e+18
80;1.8661844911083697e+18
81;3.321676557332803e+18
82;5.915674320163026e+18
83;1.0541250171391285e+19
84;1.8793939011580432e+19
85;3.3525733785000673e+19
86;5.983710713174544e+19
87;1.0685425183359196e+20
88;1.9091459104654705e+20
89;3.412791608032383e+20
90;6.103810731868678e+20
91;1.0922205749394212e+21
92;1.9553976199547608e+21
93;3.502456342095428e+21
94;6.276547792831254e+21
95;1.1253225126831021e+22
96;2.018547069341611e+22
97;3.6224646919176476e+22
98;6.503851207975264e+22
99;1.1682505283497296e+23
