taille_p;tchif;tdechif
10;0.20022743520094083;0.19854409230028977
15;0.20092562549980358;0.19889544129982822
20;0.20076028020121156;0.19926055070100118
25;0.20083277730009286;0.19906099760119106
30;0.2008811705003609;0.1989173922003829
35;0.20068152919993737;0.19910959720000393
40;0.20114148249995195;0.19911046499910298
45;0.20131017220119246;0.1994261590996757
50;0.20120580140064703;0.19917422159924172
55;0.20174232230056077;0.19872574920009356
60;0.20120858489972307;0.19962890300084837
65;0.2014643474991317;0.1994693664004444
70;0.20233973609865644;0.19911490929953288
75;0.20188889950077282;0.19937415119929938
80;0.20193698670045707;0.199466342300002
85;0.2021596247999696;0.19938768040010474
90;0.2020944681004039;0.19973421879985837
95;0.20229645549989073;0.19958168779994595
100;0.20285260709933936;0.19959762439975748
105;0.20256787399994208;0.1996893365998403
110;0.20237821320042712;0.19969636720052222
115;0.20310897829913302;0.20005359329952627
120;0.20319648759905248;0.19993207280058414
125;0.20322914840071463;0.20020297139999457
130;0.20364642100030322;0.19981693720037583
135;0.20389860110008157;0.20036080269928788
140;0.20412277619907399;0.2004545881995
145;0.2044296902997303;0.20048722290084697
150;0.20470691719965545;0.20088231880072271
155;0.20494855579891008;0.2011876497999765
160;0.20807542700058548;0.2040649681992363
165;0.20579449200013186;0.2014306711003883
170;0.20584430799935943;0.201714178500697
175;0.20664868210005807;0.20151613220077708
180;0.20675708199996734;0.20193448859936325
185;0.20734834369941382;0.202275273000123
190;0.20753566570056137;0.20237553320039298
195;0.20818865689943777;0.20275852119957563
200;0.20850208819902036;0.20278704299998934
205;0.20939291690010578;0.20275422700069612
210;0.20958566740009701;0.20334931850084104
215;0.20977438670088305;0.20349828309990697
220;0.21039826490014094;0.20393298560084078
225;0.21145437480008694;0.20421128300076816
230;0.2118212601999403;0.20409576050005854
235;0.21198668900033227;0.20443294860015157
240;0.21261483359994598;0.20479955340124434
245;0.21331559239915804;0.20501133640063926
250;0.21398071089934093;0.2054232171998592
255;0.21529919489985333;0.20591169649997026
260;0.21591761610034155;0.20668596050090854
265;0.21662246390042128;0.20659431389940436
270;0.21715259429911385;0.2070815226994455
275;0.2179747436006437;0.2075697576001403
280;0.2191681352996966;0.20773670850030612
285;0.21984966070012887;0.20820360009965952
290;0.21994048719934653;0.20853556039946852
295;0.22158640200068475;0.20928521579917286
