nbtests;temps;proba
2;0.10499508202006837;0.0625
3;0.10510353366011259;0.015625
4;0.10505797547990368;0.00390625
5;0.10473202787987247;0.0009765625
6;0.10465873540008033;0.000244140625
7;0.11109009317984601;6.103515625e-05
8;0.10473917570005142;1.52587890625e-05
9;0.10485579294003401;3.814697265625e-06
10;0.10471199988005538;9.5367431640625e-07
11;0.10482269208005164;2.384185791015625e-07
12;0.10531472437982302;5.960464477539063e-08
13;0.10485431068009347;1.4901161193847656e-08
14;0.10494597482003883;3.725290298461914e-09
15;0.10451351000017894;9.313225746154785e-10
16;0.10486519811998733;2.3283064365386963e-10
17;0.10469282173999091;5.820766091346741e-11
18;0.10494708940004785;1.4551915228366852e-11
19;0.10469773733992042;3.637978807091713e-12
20;0.10471617798000807;9.094947017729282e-13
21;0.10442134582008293;2.2737367544323206e-13
22;0.10863193986002444;5.684341886080802e-14
23;0.10485309921972658;1.4210854715202004e-14
24;0.15305379084002196;3.552713678800501e-15
25;0.1048293128799196;8.881784197001252e-16
26;0.10516552499979298;2.220446049250313e-16
27;0.10449523931998556;5.551115123125783e-17
28;0.10413372292001441;1.3877787807814457e-17
29;0.10439792918008607;3.469446951953614e-18
30;0.10444947579973814;8.673617379884035e-19
31;0.10436086483998225;2.168404344971009e-19
32;0.10399701422004;5.421010862427522e-20
33;0.10428505992018472;1.3552527156068805e-20
34;0.10447961014004249;3.3881317890172014e-21
35;0.1049658539999291;8.470329472543003e-22
36;0.10445489671990799;2.117582368135751e-22
37;0.10454337959996338;5.293955920339377e-23
38;0.10425127676007832;1.3234889800848443e-23
39;0.10428065677981067;3.308722450212111e-24
40;0.10448192992000259;8.271806125530277e-25
41;0.18841776348010172;2.0679515313825692e-25
42;0.10443656136016216;5.169878828456423e-26
43;0.10439730626003438;1.2924697071141057e-26
44;0.10431258470009197;3.2311742677852644e-27
45;0.10424763611990784;8.077935669463161e-28
46;0.10432541690002836;2.0194839173657902e-28
47;0.10466079382003954;5.048709793414476e-29
48;0.10396002263980336;1.262177448353619e-29
49;0.10429188693997275;3.1554436208840472e-30
50;0.10427220061996195;7.888609052210118e-31
51;0.10445341750008083;1.9721522630525295e-31
52;0.10443822384000669;4.930380657631324e-32
53;0.10439725630010799;1.232595164407831e-32
54;0.10428558909992716;3.0814879110195774e-33
55;0.10420640709995496;7.703719777548943e-34
56;0.1042718100001366;1.925929944387236e-34
57;0.10478630062007141;4.81482486096809e-35
58;0.10430561081997439;1.2037062152420224e-35
59;0.1045554650601116;3.009265538105056e-36
60;0.10425060485995345;7.52316384526264e-37
61;0.10428444623994437;1.88079096131566e-37
62;0.10439890307992755;4.70197740328915e-38
63;0.10442436142013321;1.1754943508222875e-38
64;0.2381159175001085;2.938735877055719e-39
65;0.1045292620400869;7.346839692639297e-40
66;0.10444108844014409;1.8367099231598242e-40
67;0.10447618502006663;4.591774807899561e-41
68;0.10455491075987083;1.1479437019748901e-41
69;0.10422481958008575;2.8698592549372254e-42
70;0.10439943029989081;7.174648137343064e-43
71;0.1045885439999982;0.10499508202006837;0.0625
3;0.10510353366011259;0.015625
